run,run_dir,final_lattice_code,BC_deloc_code,nframes,final_crystal_shape,BC_spatial_distribution,other_notes,gr_messiness,weird_features,how_initialized,kT,EE,chain_num,linker
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_3_chn_num_3_linker_8,"",NA,medium,135,deformed BCT,localized local sublattice but messy global sublattice,"triple coord num 16, coord num 8","BCT peaks, almost pristine peaks",slanted unit cells,BCC,1.1,3,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_12_chn_num_3_linker_4,"",fluid,NA,274,structured liquid,liquid like,,two pristine peaks but turns into liquid,,BCC,0.9,12,3,4
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_12_chn_num_3_linker_6,"",NA,NA,177,almost crystalline,somewhat ordered,double coord num 13.4,two pristine peaks but then very messy,"",BCC,0.9,12,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_12_chn_num_3_linker_8,run for longer,NA,NA,106,almost crystalline,somewhat ordered,double coord num 13.2,pristine,ACs are also mobile,BCC,0.9,12,3,8
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.5_eps_-70_EE_3_chn_num_3_linker_6,"",no ID,NA,386,lattice no ID,very ordered,"coord num 8, triple coord num 18",pristine,"could be stacked HEX structure, 10.25        
13.15        1.282926829
14.45        1.098859316
17.85        1.235294118
19.85        1.112044818
21.35        1.075566751",FCC,0.5,3,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.8_eps_-70_EE_3_chn_num_3_linker_6,"",no ID,NA,386,lattice no ID,very ordered,"coord num 8, triple coord num 18",pristine,"could be stacked HEX structure, 10.35        
13.25        1.280193237
14.55        1.098113208
18.05        1.240549828
19.95        1.105263158
21.45        1.07518797",FCC,0.8,3,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_3_chn_num_3_linker_6,"",BCT,NA,386,BCT,ordered sublattice,"triple coord num 16, c = 2a",almost pristine peaks,"",FCC,1.1,3,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.4_eps_-70_EE_3_chn_num_3_linker_6,"",almost melted BCC,high,386,almost melted BCC,very messy crosses,double coord num 14,messy peaks,looks like a combination of BCC and BCT peaks,FCC,1.4,3,3,6
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_7_chn_num_3_linker_10,"",mixture,low,150,jammed mixture,very neat crosses but jammed regions,double coord num 13.3,almost pristine peaks,looks like jammed BCC,BCC,0.9,7,3,10
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_7_chn_num_3_linker_10,"",mixture,low,138,jammed mixture,very neat crosses but jammed regions,double coord num 13.3,almost pristine peaks,looks like jammed BCC,BCC,1.1,7,3,10
