run,detailed_lattice_code,final_lattice_code,kT,EE,linker,how_initialized
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.75_eps_-70_EE_6_chn_num_3_linker_8,BCC,BCC,1.75,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.77_eps_-70_EE_6_chn_num_3_linker_8,BCC,BCC,1.77,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.78_eps_-70_EE_6_chn_num_3_linker_8,BCC,BCC,1.78,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.79_eps_-70_EE_6_chn_num_3_linker_8,BCC,BCC,1.79,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.8_eps_-70_EE_6_chn_num_3_linker_8,BCC,BCC,1.8,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.81_eps_-70_EE_6_chn_num_3_linker_8,BCC,BCC,1.81,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.82_eps_-70_EE_6_chn_num_3_linker_8,melted,melted,1.82,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.83_eps_-70_EE_6_chn_num_3_linker_8,melted,melted,1.83,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.832_eps_-70_EE_6_chn_num_3_linker_8,melted,melted,1.832,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.838_eps_-70_EE_6_chn_num_3_linker_8,melted,melted,1.838,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.84_eps_-70_EE_6_chn_num_3_linker_8,melted,melted,1.84,6,8,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.9_eps_-70_EE_6_chn_num_3_linker_10,melted,melted,1.9,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.7_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,1.7,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_6,BCC,BCC,1.5,6,6,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.1_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,1.1,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.9_eps_-70_EE_6_chn_num_3_linker_6,BCC,BCC,0.9,6,6,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.85_eps_-70_EE_6_chn_num_3_linker_6,BCC,BCC,0.85,6,6,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.85_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.85,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_6_chn_num_3_linker_6,BCC,BCC,0.8,6,6,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.8_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.8,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.75_eps_-70_EE_6_chn_num_3_linker_6,BCC,BCC,0.75,6,6,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.75_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.75,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.74_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.74,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.73_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.73,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.72_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.72,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.71_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.71,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.7_eps_-70_EE_6_chn_num_3_linker_6,BCC,BCC,0.7,6,6,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.67_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.67,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.65_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.65,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_0.61_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,0.61,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_2.1_eps_-70_EE_4_chn_num_3_linker_10,BCC,BCC,2.1,4,10,FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_2.0_eps_-70_EE_4_chn_num_3_linker_10,BCC,BCC,2,4,10,FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.95_eps_-70_EE_4_chn_num_3_linker_10,BCC,BCC,1.95,4,10,FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_4_chn_num_3_linker_10,BCT2a,BCT,1.3,4,10,FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.97_eps_-70_EE_6_chn_num_3_linker_10,melted,melted,1.97,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.95_eps_-70_EE_6_chn_num_3_linker_10,melted,melted,1.95,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.9_eps_-70_EE_4_chn_num_3_linker_10,BCT2a,BCT,1.9,4,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.7_eps_-70_EE_4_chn_num_3_linker_10,BCT2a,BCT,1.7,4,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_6_chn_num_3_linker_6,BCC,BCC,1.6,6,6,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.6_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,1.6,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_6_chn_num_3_linker_6,BCC,BCC,1.4,6,6,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.4_eps_-70_EE_6_chn_num_3_linker_10,BCC,BCC,1.4,6,10,BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_6_chn_num_3_linker_6,BCC,BCC,1.2,6,6,BCC
