run,run_dir,final_lattice_code,nframes,final_crystal_shape,BC_spatial_distribution,use_anneal,other_notes,gr_messiness,weird_features
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_10,chain_len,BCC,118,BCC,neat offset hexes/Xs,"",none,almost pristine,"looks crooked (BCC peaks, BCC slices from diagonal, FCC slices from faces)"
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,neat offset hexes/Xs,"",none,medium pristine,"BCC peaks, but squashed FCC or hex=y slices"
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_6,chain_len,fluid,136,fluid,delocalized,"",none,liquidy,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,101,FCC,messy Xs,"",none,broad peaks,none
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,136,BCC,messy-ish Xs,"",none,almost pristine (broad-ish peaks),"BCC peaks, but squashed FCC or hex-y slices, BCC slices from corners"
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",none,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",none,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_0.9_eps_-70_EE_8_chn_num_3_linker_8,chain_len,"lattice, no ID",136,"lattice, no ID",neat offset hexes,"",(maybe hex? see layers but not hex pattern); could be two peaks in 2nd and 3rd g(r) peaks,almost pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,136,FCC,"delocalized, very very messy interlocking hexes",no,"(FCC peaks, but can't tell); doesn't relax until about frame 50",broad peaks,""
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_1.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,fluid,136,liquidy,delocalized,no,none,liquidy,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",none,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",none,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.7_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,squares,"",none,pristine,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.9_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,136,SC,messy squares,"",some extra bumps in g(r),pristine with some extra bumps,some weird warping or regions?
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,chain_len,fluid,136,liquidy,delocalized,"",none,liquidy,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.1_eps_-70_EE_3_chn_num_3_linker_8,chain_len,A20,136,A20 polycrystal,offset lines -> offset hexes,yes,"starts as one lattice, converts to another around frames 40-50","almost pristine, maybe extra peaks",transition in middle
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.1_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture: maybe lattice + liquid?,136,mixture: maybe lattice + liquid?,very messy interlocking hexes,"",none,"broad peaks, looks liquidy at larger r",maybe lattice region and liquid region?
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,fluid,136,liquidy,delocalized,"",none,liquidy,none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.3_eps_-70_EE_3_chn_num_3_linker_8,chain_len,A20 polycrystal,136,A20,offset hexes,no,(looks kinda hexy but can't tell); not sure if IDed all peaks right,"almost pristine, broadish peaks",none
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,looks like between lattice and liquid,136,looks like between lattice and liquid,delocalized,"",none,liquidy,none
